epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_balanced_accuracy,val_auc_roc,val_average_precision,learning_rate
1,0.008536185451322165,0.9992256381692456,0.0,0.0,0.0,0.5,0.7921431167924161,0.014979185004652309,9.045084971874738e-06
2,0.007786895093048701,0.9992256381692456,0.0,0.0,0.0,0.5,0.7710106753450954,0.035398953388412716,6.545084971874738e-06
3,0.007442443815308659,0.9992256381692456,0.0,0.0,0.0,0.5,0.7448529075026047,0.021011573996111917,3.454915028125263e-06
4,0.007137330906734581,0.9992256381692456,0.0,0.0,0.0,0.5,0.7905250945506032,0.013980186210143332,9.549150281252633e-07
5,0.006851068217231316,0.9992256381692456,0.0,0.0,0.0,0.5,0.7905848446164356,0.017047398565496422,0.0
