epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_balanced_accuracy,val_auc_roc,val_average_precision,learning_rate
1,0.008140616396312576,0.9992256381692456,0.0,0.0,0.0,0.5,0.9057558991562003,0.029558919250965605,9.045084971874738e-06
2,0.007188242893972878,0.9992256381692456,0.0,0.0,0.0,0.5,0.8782269806013838,0.04402963873859913,6.545084971874738e-06
3,0.006573074531988876,0.9992256381692456,0.0,0.0,0.0,0.5,0.8633858275229078,0.03034649972556414,3.454915028125263e-06
4,0.005839689367549641,0.9991848822834164,0.0,0.0,0.0,0.4999796062649554,0.9337976426273428,0.056034188331986805,9.549150281252633e-07
5,0.0051410636499224106,0.9991848822834164,0.0,0.0,0.0,0.4999796062649554,0.9340238818985684,0.058922412108643185,0.0
