epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_balanced_accuracy,val_auc_roc,val_average_precision,learning_rate
1,0.00892779004385292,0.9992256381692456,0.0,0.0,0.0,0.5,0.592706818710906,0.0009178315367066186,4.522542485937369e-05
2,0.008373942097428538,0.9992256381692456,0.0,0.0,0.0,0.5,0.6334105671509642,0.0027664697987291246,3.2725424859373684e-05
3,0.00828824445843649,0.9992256381692456,0.0,0.0,0.0,0.5,0.6756889266073602,0.005162601222711258,1.7274575140626315e-05
4,0.007873962772030535,0.9992256381692456,0.0,0.0,0.0,0.5,0.7552351075644299,0.008547468702048202,4.774575140626316e-06
5,0.007715574082863967,0.9992256381692456,0.0,0.0,0.0,0.5,0.7599488033767254,0.007535291830166348,0.0
