model_name,feature_set,best_auc_roc,average_precision,balanced_accuracy,accuracy,precision,recall,f1_score,auc_roc,best_child_run_name
BioMedCLIP,,0.9230286559458398,0.03310453025688282,0.5,0.9990282376072046,0.0,0.0,0.0,0.9230286559458398,BioMedCLIP_trial_002
EfficientNet-B0,,0.9002758328447437,0.026781955313868618,0.5,0.9990282376072046,0.0,0.0,0.0,0.9002758328447437,EfficientNet-B0_trial_004
ResNet-50,,0.8873385977385732,0.02240780119153797,0.5,0.9990282376072046,0.0,0.0,0.0,0.8873385977385732,ResNet-50_trial_002
DenseNet-121,,0.8838855250950941,0.02003461157812164,0.5113564536836764,0.9985084577226861,0.04,0.023255813953488372,0.029411764705882356,0.8838855250950941,DenseNet-121_trial_001
DeiT-S,,0.8756761015098538,0.01868334491849814,0.5,0.9990282376072046,0.0,0.0,0.0,0.8756761015098538,DeiT-S_trial_002
CheXzero,,0.8639899977878661,0.011901163827059021,0.5,0.9990282376072046,0.0,0.0,0.0,0.8639899977878661,CheXzero_trial_002
DINOv2 ViT-S,,0.8218086022812072,0.007305764727325587,0.5,0.9990282376072046,0.0,0.0,0.0,0.8218086022812072,DINOv2_ViT-S_trial_002
