epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_balanced_accuracy,val_auc_roc,val_average_precision,learning_rate
1,0.008403214079589914,0.9992256381692456,0.0,0.0,0.0,0.5,0.8593485835537288,0.060628580854664146,9.045084971874738e-06
2,0.007593652755151652,0.9992256381692456,0.0,0.0,0.0,0.5,0.8945345744173355,0.03607506830588313,6.545084971874738e-06
3,0.006877437256487487,0.9992256381692456,0.0,0.0,0.0,0.5,0.9106761560743276,0.05064742756208514,3.454915028125263e-06
4,0.006278341779149269,0.9992256381692456,0.0,0.0,0.0,0.5,0.9336762343099428,0.048982604249260014,9.549150281252633e-07
5,0.00555569894255475,0.9992256381692456,0.0,0.0,0.0,0.5,0.9304041728205656,0.06641537659115204,0.0
