epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1_score,val_balanced_accuracy,val_auc_roc,val_average_precision,learning_rate
1,0.009369442435912069,0.9992256381692456,0.0,0.0,0.0,0.5,0.6010748094676543,0.001096963009418504,4.522542485937369e-05
2,0.008511304204820587,0.9992256381692456,0.0,0.0,0.0,0.5,0.6319531902957306,0.001155208897619575,3.2725424859373684e-05
3,0.008439272137512405,0.9992256381692456,0.0,0.0,0.0,0.5,0.6342532696762572,0.009297965095138677,1.7274575140626315e-05
4,0.008267104031005893,0.9992256381692456,0.0,0.0,0.0,0.5,0.7352075056577707,0.004389688420336301,4.774575140626316e-06
5,0.007551357398789503,0.9992256381692456,0.0,0.0,0.0,0.5,0.7995975636284534,0.039314121556151,0.0
